loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,last_credit_pull_d,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,disbursement_method,Loan_status
15000.0,15000.0,15000.0, 60 months, 26.24%,451.25,E,E5,4 years,OWN,59700.0,Source Verified,Jan-2017,n,debt_consolidation,MA,34.25,0.0,Feb-2004,2.0,15.0,0.0,16717.0,69.4%,28.0,w,Feb-2018,0.0,Individual,0.0,0.0,54258.0,24100.0,3617.0,591.0,91.9,0.0,0.0,155.0,144.0,17.0,12.0,0.0,17.0,0.0,5.0,10.0,6.0,7.0,10.0,12.0,18.0,10.0,15.0,0.0,0.0,0.0,1.0,100.0,83.3,0.0,0.0,80498.0,54258.0,7300.0,56398.0,Cash,1
10375.0,10375.0,10375.0, 36 months, 12.39%,346.54,C,C1,10+ years,OWN,70000.0,Source Verified,Jan-2015,n,credit_card,MD,33.67,0.0,Jun-1996,0.0,19.0,0.0,70926.0,62.9%,25.0,f,Feb-2018,0.0,Individual,0.0,0.0,385751.0,108500.0,21431.0,7330.0,73.3,0.0,0.0,182.0,222.0,7.0,7.0,1.0,7.0,0.0,11.0,15.0,12.0,13.0,4.0,17.0,20.0,15.0,19.0,0.0,0.0,0.0,2.0,100.0,63.6,0.0,0.0,464745.0,103578.0,27500.0,41245.0,Cash,1
18900.0,18900.0,18900.0, 36 months, 15.05%,655.64,C,C4,9 years,OWN,42000.0,Verified,Jun-2017,n,debt_consolidation,KY,30.26,0.0,Aug-1995,0.0,13.0,0.0,32858.0,79%,18.0,w,Feb-2018,0.0,Individual,0.0,0.0,33576.0,41650.0,2582.0,3586.0,94.0,0.0,0.0,20.0,262.0,10.0,9.0,0.0,18.0,0.0,7.0,12.0,7.0,7.0,3.0,12.0,15.0,11.0,13.0,,0.0,0.0,2.0,100.0,85.7,0.0,0.0,43441.0,33576.0,25100.0,1791.0,Cash,1
14000.0,14000.0,14000.0, 36 months, 10.99%,458.28,B,B4,9 years,RENT,66000.0,Verified,Oct-2015,n,debt_consolidation,MI,30.16,0.0,Jul-2007,0.0,16.0,1.0,8973.0,44%,21.0,w,Feb-2018,0.0,Individual,0.0,0.0,55562.0,20550.0,3968.0,2583.0,53.0,0.0,0.0,45.0,98.0,0.0,0.0,0.0,5.0,0.0,6.0,11.0,7.0,7.0,5.0,11.0,14.0,10.0,14.0,,0.0,0.0,4.0,100.0,50.0,1.0,0.0,79123.0,55562.0,15500.0,58316.0,Cash,1
16000.0,16000.0,16000.0, 36 months,  7.89%,500.58,A,A5,8 years,MORTGAGE,105000.0,Not Verified,Nov-2015,n,debt_consolidation,TX,16.06,0.0,Jan-2001,3.0,15.0,0.0,37411.0,51%,29.0,w,Jul-2017,0.0,Individual,0.0,0.0,197382.0,74050.0,13158.0,7183.0,51.0,0.0,0.0,72.0,177.0,1.0,1.0,3.0,1.0,0.0,9.0,12.0,12.0,12.0,3.0,12.0,23.0,8.0,15.0,,0.0,0.0,3.0,100.0,33.3,0.0,0.0,255821.0,56586.0,64650.0,31591.0,Cash,1
10000.0,10000.0,10000.0, 60 months, 29.49%,320.41,F,F2,3 years,MORTGAGE,43000.0,Verified,Feb-2017,n,major_purchase,PA,19.56,0.0,Dec-2012,1.0,8.0,0.0,3073.0,26.5%,10.0,f,Jan-2018,0.0,Individual,0.0,456.0,200675.0,11600.0,25084.0,6454.0,13.9,0.0,0.0,27.0,50.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,3.0,5.0,6.0,2.0,8.0,0.0,0.0,0.0,5.0,100.0,33.3,0.0,0.0,213221.0,37548.0,7500.0,35683.0,Cash,1
5500.0,5500.0,5500.0, 36 months, 12.99%,185.3,B,B4,2 years,MORTGAGE,77000.0,Source Verified,Nov-2013,n,debt_consolidation,NJ,6.73,0.0,Jan-2001,1.0,8.0,1.0,2601.0,41.3%,35.0,f,Feb-2018,0.0,Individual,0.0,0.0,3398.0,6300.0,425.0,3525.0,32.2,0.0,0.0,129.0,153.0,12.0,12.0,5.0,12.0,1.0,4.0,6.0,5.0,17.0,7.0,7.0,23.0,6.0,8.0,0.0,0.0,0.0,1.0,92.3,0.0,1.0,0.0,19257.0,3398.0,5200.0,12957.0,Cash,1
25000.0,25000.0,25000.0, 36 months, 11.44%,823.69,B,B4,10+ years,RENT,144000.0,Not Verified,Nov-2016,n,vacation,CA,20.23,0.0,Jun-2012,2.0,12.0,0.0,14994.0,28.2%,19.0,w,Feb-2018,0.0,Individual,0.0,0.0,86967.0,53200.0,7247.0,33906.0,30.7,0.0,0.0,53.0,51.0,6.0,6.0,0.0,6.0,0.0,5.0,5.0,6.0,9.0,8.0,7.0,11.0,5.0,12.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,154142.0,86967.0,48900.0,100942.0,Cash,1
4800.0,4800.0,4800.0, 36 months, 16.55%,170.07,D,D2,< 1 year,RENT,35360.0,Source Verified,Nov-2015,n,debt_consolidation,NY,33.84,0.0,May-2007,2.0,12.0,0.0,2238.0,11%,26.0,w,Oct-2017,0.0,Individual,0.0,0.0,25730.0,20400.0,2144.0,5975.0,25.3,0.0,0.0,56.0,101.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,6.0,5.0,8.0,21.0,4.0,12.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,0.0,48473.0,25730.0,8000.0,28073.0,Cash,0
7000.0,7000.0,7000.0, 36 months,  6.89%,215.79,A,A3,2 years,RENT,58000.0,Source Verified,Oct-2015,n,credit_card,IL,25.33,0.0,Apr-2000,0.0,22.0,1.0,1575.0,8.7%,59.0,w,Feb-2018,0.0,Individual,0.0,0.0,94217.0,18000.0,4283.0,8324.0,2.1,0.0,0.0,147.0,185.0,4.0,4.0,0.0,34.0,1.0,2.0,4.0,2.0,9.0,41.0,7.0,17.0,4.0,22.0,0.0,0.0,0.0,3.0,96.4,0.0,1.0,0.0,109818.0,94217.0,8500.0,91818.0,Cash,1
30000.0,30000.0,30000.0, 36 months, 17.57%,1078.12,D,D4,2 years,MORTGAGE,150000.0,Source Verified,Feb-2015,n,credit_card,WI,15.84,1.0,Nov-1989,0.0,17.0,0.0,52354.0,83.1%,29.0,w,Aug-2017,0.0,Individual,0.0,0.0,383562.0,63000.0,25571.0,3743.0,92.5,0.0,0.0,152.0,303.0,7.0,7.0,2.0,7.0,0.0,7.0,9.0,7.0,10.0,4.0,13.0,21.0,9.0,17.0,0.0,0.0,0.0,4.0,89.7,71.4,0.0,0.0,420435.0,99668.0,50200.0,52055.0,Cash,1
6000.0,6000.0,6000.0, 36 months, 11.44%,197.69,B,B4,2 years,RENT,50000.0,Source Verified,Nov-2016,n,credit_card,CO,13.32,1.0,Apr-2002,0.0,3.0,0.0,3334.0,77.5%,14.0,w,Feb-2018,0.0,Individual,0.0,512.0,4949.0,4300.0,1650.0,966.0,77.5,0.0,0.0,175.0,38.0,23.0,23.0,0.0,23.0,0.0,2.0,2.0,2.0,2.0,12.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,85.7,100.0,0.0,0.0,19420.0,4949.0,4300.0,15120.0,Cash,1
12975.0,12975.0,12975.0, 36 months, 15.31%,451.76,C,C4,8 years,RENT,95000.0,Source Verified,Apr-2014,n,debt_consolidation,VA,16.98,1.0,Sep-2002,0.0,9.0,0.0,10891.0,75.1%,24.0,w,Feb-2018,0.0,Individual,0.0,0.0,58481.0,14500.0,6498.0,0.0,120.3,0.0,0.0,125.0,139.0,8.0,5.0,0.0,18.0,1.0,1.0,3.0,1.0,9.0,6.0,6.0,18.0,3.0,9.0,0.0,0.0,0.0,4.0,65.2,100.0,0.0,0.0,68285.0,58481.0,7500.0,53785.0,Cash,0
10000.0,10000.0,10000.0, 60 months, 11.39%,219.38,B,B3,10+ years,OWN,42000.0,Not Verified,Dec-2016,n,debt_consolidation,IL,13.34,0.0,Mar-1976,1.0,16.0,1.0,8454.0,27.7%,33.0,w,Dec-2017,0.0,Individual,0.0,0.0,10237.0,30500.0,1024.0,17067.0,33.1,0.0,0.0,25.0,489.0,5.0,5.0,1.0,5.0,0.0,5.0,6.0,10.0,16.0,1.0,13.0,29.0,6.0,16.0,0.0,0.0,0.0,1.0,96.3,14.3,1.0,0.0,35500.0,10237.0,25500.0,5000.0,Cash,1
15000.0,15000.0,15000.0, 36 months, 14.65%,517.42,C,C5,6 years,RENT,48000.0,Not Verified,Apr-2015,n,debt_consolidation,CA,12.6,0.0,Nov-2002,0.0,6.0,0.0,7833.0,77.6%,13.0,f,Feb-2018,0.0,Individual,0.0,0.0,15835.0,10100.0,2639.0,841.0,67.7,0.0,0.0,149.0,94.0,5.0,5.0,0.0,7.0,0.0,2.0,4.0,2.0,2.0,5.0,5.0,8.0,4.0,6.0,0.0,0.0,0.0,3.0,100.0,50.0,0.0,0.0,18562.0,15835.0,2600.0,8462.0,Cash,1
18000.0,18000.0,18000.0, 60 months, 15.59%,433.82,C,C5,10+ years,MORTGAGE,60000.0,Source Verified,Jul-2016,n,home_improvement,NC,15.42,0.0,Jan-2002,3.0,9.0,0.0,6485.0,39.8%,22.0,w,Feb-2018,0.0,Individual,0.0,201.0,91301.0,16300.0,10145.0,9015.0,41.8,0.0,0.0,174.0,108.0,3.0,3.0,3.0,4.0,0.0,4.0,4.0,5.0,7.0,11.0,6.0,8.0,4.0,9.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,0.0,106853.0,33804.0,15500.0,30553.0,Cash,1
5000.0,5000.0,5000.0, 36 months, 10.91%,163.49,B,B4,10+ years,MORTGAGE,53000.0,Not Verified,Aug-2017,n,credit_card,IN,13.61,3.0,Jan-2003,0.0,7.0,0.0,3974.0,33.1%,14.0,w,Feb-2018,0.0,Individual,0.0,0.0,13741.0,12000.0,1963.0,319.0,92.2,0.0,0.0,174.0,75.0,39.0,39.0,0.0,39.0,0.0,4.0,5.0,4.0,4.0,8.0,6.0,6.0,5.0,7.0,0.0,0.0,1.0,0.0,64.3,75.0,0.0,0.0,38368.0,13741.0,4100.0,26368.0,Cash,1
10000.0,10000.0,10000.0, 36 months,  6.99%,308.73,A,A2,10+ years,RENT,50000.0,Not Verified,Feb-2017,n,other,MA,11.59,0.0,Apr-2004,0.0,9.0,0.0,11942.0,31.4%,21.0,f,Feb-2018,0.0,Individual,0.0,0.0,15209.0,38000.0,1690.0,24897.0,32.0,0.0,0.0,154.0,150.0,19.0,19.0,0.0,19.0,0.0,4.0,5.0,6.0,13.0,7.0,7.0,14.0,5.0,9.0,0.0,0.0,0.0,0.0,100.0,16.7,0.0,0.0,56783.0,15209.0,36600.0,18783.0,Cash,1
5000.0,5000.0,5000.0, 36 months, 13.98%,170.84,C,C3,< 1 year,MORTGAGE,36000.0,Source Verified,Oct-2014,n,small_business,GA,18.6,0.0,Jun-2003,0.0,7.0,0.0,13671.0,44.4%,23.0,f,Jun-2017,0.0,Individual,0.0,0.0,13671.0,30800.0,1953.0,1844.0,84.1,0.0,0.0,105.0,136.0,7.0,7.0,2.0,11.0,1.0,4.0,7.0,4.0,11.0,2.0,7.0,18.0,7.0,6.0,0.0,0.0,0.0,2.0,91.3,75.0,0.0,0.0,30800.0,13671.0,11600.0,0.0,Cash,1
15000.0,15000.0,15000.0, 60 months, 13.59%,345.85,C,C2,6 years,MORTGAGE,112000.0,Verified,Nov-2017,n,debt_consolidation,VA,16.1,1.0,Jun-2005,0.0,8.0,0.0,11429.0,69%,21.0,w,Feb-2018,0.0,Individual,0.0,0.0,253217.0,16600.0,31652.0,4533.0,84.0,0.0,0.0,95.0,149.0,11.0,3.0,2.0,11.0,0.0,3.0,5.0,4.0,6.0,6.0,5.0,13.0,2.0,8.0,,0.0,0.0,3.0,81.0,66.7,0.0,0.0,274667.0,48584.0,13600.0,51871.0,Cash,1
24000.0,24000.0,24000.0, 60 months, 12.62%,541.42,C,C1,8 years,MORTGAGE,145000.0,Not Verified,Aug-2017,n,credit_card,MN,26.68,0.0,Nov-1998,0.0,19.0,0.0,29079.0,48.2%,42.0,f,Feb-2018,0.0,Individual,0.0,0.0,306444.0,60300.0,17025.0,24468.0,50.0,0.0,0.0,153.0,224.0,8.0,8.0,2.0,8.0,0.0,6.0,10.0,8.0,16.0,8.0,15.0,32.0,10.0,19.0,0.0,0.0,0.0,7.0,88.1,50.0,0.0,0.0,437139.0,140576.0,48900.0,157339.0,Cash,1
