id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term,Loan status
,,10000,10000,9900.0, 36 months,  9.17%,318.79,B,B2,server,9 years,RENT,35000,Source Verified,Apr-2015,n,,,credit_card,Credit card refinancing,922xx,CA,4.56,0,Sep-1998,2,42,,4,0,4184,48.7%,7,f,630.31,624.01,10828.67,10720.38,9369.69,1458.98,0.0,0.0,0.0,Feb-2018,318.79,Mar-2018,Feb-2018,0,,1,Individual,,,,0,242,4184.0,,,,,,,,,,,,8600.0,,,,1,1046.0,3494.0,50.1,0,0.0,159.0,198.0,22.0,22.0,0.0,22.0,42.0,5.0,42.0,0.0,2.0,4.0,2.0,3.0,1.0,4.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,85.7,0.0,0.0,0.0,8600.0,4184.0,7000.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,7000,7000,7000.0, 36 months, 13.33%,236.98,C,C3,Insurance agent ,5 years,RENT,55000,Not Verified,May-2015,n,,,debt_consolidation,Debt consolidation,931xx,CA,12.85,0,Feb-2006,1,40,,6,0,3092,63.1%,7,w,1591.98,1591.98,6908.38,6908.38,5408.02,1470.36,30.0,0.0,0.0,Nov-2017,488.96,Mar-2018,Feb-2018,0,40,1,Individual,,,,0,0,16070.0,,,,,,,,,,,,4900.0,,,,5,2678.0,1273.0,67.4,0,0.0,14.0,27.0,2.0,2.0,0.0,2.0,,2.0,,1.0,4.0,5.0,4.0,4.0,1.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,1.0,85.7,75.0,0.0,0.0,23696.0,16070.0,3900.0,18796.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,0
,,32000,32000,32000.0, 60 months, 21.45%,873.83,D,D5,Helpdesk Technician,4 years,OWN,60000,Source Verified,Sep-2017,n,,,other,Other,115xx,NY,14.52,0,Jan-2002,1,25,,11,0,9807,50.8%,16,w,30436.49,30436.49,4331.02,4331.02,1563.51,2767.51,0.0,0.0,0.0,Feb-2018,873.83,Mar-2018,Feb-2018,0,25,1,Joint App,120000,13.77,Source Verified,0,0,45930.0,2,3.0,0,0.0,74.0,36123.0,91,3.0,5.0,3903,78.0,19300.0,0,0,1.0,5,4593.0,8993.0,52.2,0,0.0,133.0,187.0,4.0,4.0,0.0,4.0,,4.0,27.0,2.0,5.0,5.0,7.0,7.0,7.0,8.0,9.0,5.0,11.0,0.0,0.0,0.0,3.0,75.0,16.7,0.0,0.0,59161.0,45930.0,18800.0,39861.0,25080.0,Nov-2006,1.0,0.0,14.0,62.9,3.0,11.0,0.0,0.0,19.0,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,15600,15600,15600.0, 60 months,  9.99%,331.38,B,B3,Distribution Spvsr,10+ years,MORTGAGE,84000,Source Verified,Jun-2015,n,,,debt_consolidation,Debt consolidation,014xx,MA,12.96,0,Jun-2003,0,68,,14,0,16975,73.7%,23,w,8245.95,8245.95,10619.66,10619.66,7354.05,3265.61,0.0,0.0,0.0,Feb-2018,331.38,Mar-2018,Feb-2018,0,,1,Individual,,,,0,0,282947.0,,,,,,,,,,,,29400.0,,,,4,21765.0,10725.0,79.9,0,0.0,144.0,134.0,4.0,4.0,2.0,4.0,,18.0,,0.0,10.0,10.0,10.0,13.0,5.0,12.0,16.0,10.0,14.0,0.0,0.0,0.0,1.0,90.9,40.0,0.0,0.0,325627.0,36838.0,27700.0,24514.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,12000,12000,12000.0, 36 months, 20.50%,449.03,E,E1,motgage services,8 years,RENT,42000,Verified,Jan-2014,n,,,debt_consolidation,Debt consolidation,930xx,CA,30.14,0,Aug-2003,0,60,,7,0,11096,94.8%,13,w,0.00,0.00,11273.83,11273.83,7142.70,3634.02,0.0,497.11,89.4798,Feb-2016,449.03,,Oct-2016,0,60,1,Individual,,,,0,0,11815.0,,,,,,,,,,,,11700.0,,,,3,1688.0,102.0,98.0,0,0.0,125.0,113.0,7.0,7.0,0.0,99.0,,14.0,,1.0,2.0,6.0,2.0,3.0,4.0,6.0,9.0,6.0,7.0,0.0,0.0,0.0,1.0,92.3,100.0,0.0,0.0,17700.0,11815.0,5000.0,6000.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,0
,,30000,30000,30000.0, 60 months, 12.29%,671.74,C,C1,Deputy Director,< 1 year,MORTGAGE,140000,Source Verified,Aug-2015,n,,,debt_consolidation,Debt consolidation,278xx,NC,10.75,0,Jun-2002,0,,,14,0,20211,33.1%,29,w,18729.46,18729.46,18116.5,18116.50,11270.54,6845.96,0.0,0.0,0.0,Nov-2017,671.74,Mar-2018,Feb-2018,0,,1,Individual,,,,0,0,268872.0,,,,,,,,,,,,61100.0,,,,7,20682.0,26138.0,41.7,0,0.0,137.0,157.0,4.0,1.0,4.0,4.0,,2.0,,0.0,5.0,8.0,7.0,8.0,7.0,11.0,18.0,8.0,14.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,339729.0,55217.0,44800.0,64974.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,0
,,22800,22800,22800.0, 36 months,  7.35%,707.66,A,A4,Teacher,7 years,MORTGAGE,125000,Not Verified,Nov-2017,n,,,debt_consolidation,Debt consolidation,115xx,NY,31.44,0,Jun-1989,0,28,,19,0,28538,22.9%,34,w,21085.51,21085.51,2104.36,2104.36,1714.49,389.87,0.0,0.0,0.0,Feb-2018,707.66,Mar-2018,Feb-2018,0,,1,Individual,,,,0,0,442252.0,0,7.0,2,2.0,12.0,107172.0,79,3.0,4.0,12370,48.0,124700.0,1,4,2.0,6,23276.0,72864.0,21.1,0,0.0,167.0,341.0,11.0,11.0,3.0,58.0,28.0,12.0,28.0,0.0,4.0,7.0,6.0,6.0,16.0,11.0,15.0,7.0,19.0,0.0,0.0,0.0,5.0,97.1,0.0,0.0,0.0,605652.0,135710.0,92300.0,140952.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,2000,2000,2000.0, 36 months, 23.88%,78.34,E,E2,senior medical technologist,10+ years,MORTGAGE,85000,Not Verified,Dec-2017,n,,,debt_consolidation,Debt consolidation,770xx,TX,20.74,1,Dec-1994,1,6,,8,0,5258,63.3%,21,f,1961.46,1961.46,75.69,75.69,38.54,37.15,0.0,0.0,0.0,Jan-2018,78.34,Mar-2018,Feb-2018,0,,1,Individual,,,,0,137,166694.0,1,4.0,1,1.0,4.0,18749.0,39,0.0,1.0,2743,42.0,8300.0,1,0,2.0,2,20837.0,842.0,86.2,0,0.0,106.0,276.0,23.0,4.0,4.0,29.0,6.0,4.0,6.0,0.0,2.0,2.0,2.0,6.0,6.0,3.0,11.0,2.0,8.0,0.0,0.0,0.0,1.0,90.5,100.0,0.0,0.0,215284.0,24007.0,6100.0,48584.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,7600,7600,7600.0, 36 months,  5.32%,228.88,A,A1,Admin,10+ years,MORTGAGE,43000,Not Verified,Aug-2017,n,,,credit_card,Credit card refinancing,301xx,GA,14.57,0,Nov-2004,0,64,,11,0,8138,22.5%,25,f,5905.24,5905.24,1871.03,1871.03,1694.76,176.27,0.0,0.0,0.0,Feb-2018,228.88,Mar-2018,Feb-2018,0,,1,Individual,,,,0,0,120536.0,0,1.0,0,0.0,28.0,1950.0,24,0.0,1.0,7340,23.0,36100.0,0,0,0.0,1,13393.0,21819.0,27.0,0,0.0,151.0,153.0,15.0,15.0,3.0,15.0,,15.0,64.0,0.0,3.0,5.0,5.0,8.0,4.0,9.0,18.0,5.0,11.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,164374.0,10088.0,29900.0,8200.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,14000,14000,14000.0, 36 months, 11.44%,461.27,B,B4,General Manager,10+ years,RENT,86000,Source Verified,Oct-2016,n,,,debt_consolidation,Debt consolidation,372xx,TN,14.46,0,May-2006,0,47,,16,0,27,0%,23,w,8740.86,8740.86,6910.65,6910.65,5259.14,1651.51,0.0,0.0,0.0,Feb-2018,461.27,Mar-2018,Feb-2018,0,,1,Individual,,,,0,0,21585.0,2,2.0,0,2.0,16.0,21558.0,57,2.0,7.0,24,22.0,59000.0,6,0,7.0,9,1439.0,47573.0,0.1,0,0.0,125.0,115.0,1.0,1.0,0.0,1.0,47.0,2.0,47.0,0.0,2.0,2.0,9.0,9.0,9.0,13.0,13.0,2.0,16.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,97107.0,21585.0,47600.0,38107.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,12000,12000,12000.0, 36 months,  5.32%,361.38,A,A1,Senior Automation Engineer,2 years,RENT,82000,Not Verified,Apr-2016,n,,,debt_consolidation,Debt consolidation,460xx,IN,11.21,1,Apr-2003,0,20,,14,0,8200,15.8%,30,w,0.00,0.00,12814.9087830207,12814.91,12000.00,814.91,0.0,0.0,0.0,Dec-2017,5945.15,,Feb-2018,0,,1,Individual,,,,0,0,146080.0,1,2.0,1,1.0,10.0,12202.0,61,1.0,2.0,4007,28.0,52000.0,1,2,2.0,3,12173.0,39623.0,15.7,0,0.0,145.0,156.0,5.0,5.0,1.0,5.0,,10.0,,0.0,5.0,7.0,6.0,10.0,7.0,8.0,19.0,7.0,13.0,0.0,0.0,0.0,2.0,96.7,0.0,0.0,0.0,210224.0,20402.0,47000.0,19937.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,30000,30000,30000.0, 36 months,  9.99%,967.88,B,B3,FSR,1 year,MORTGAGE,75000,Verified,Apr-2015,n,,,credit_card,Credit card refinancing,186xx,PA,33.9,0,Dec-2004,0,,116,12,1,12855,42%,27,w,0.00,0.00,21701.35,21701.35,16404.95,3903.88,0.0,1392.52,250.6536,Jan-2017,967.88,,Jul-2017,0,,1,Individual,,,,0,0,172128.0,,,,,,,,,,,,30600.0,,,,4,14344.0,5245.0,71.0,0,0.0,124.0,123.0,9.0,9.0,3.0,51.0,,9.0,,0.0,3.0,3.0,3.0,6.0,10.0,6.0,14.0,3.0,12.0,0.0,0.0,0.0,1.0,100.0,66.7,1.0,0.0,250228.0,65914.0,18100.0,105628.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,0
,,6000,6000,6000.0, 36 months, 10.42%,194.79,B,B3,house cleaner,10+ years,MORTGAGE,50000,Not Verified,Jul-2017,n,,,credit_card,Credit card refinancing,068xx,CT,28.59,0,Nov-2003,0,76,69,9,1,7903,68.1%,27,f,5125.06,5125.06,1161.79,1161.79,874.94,286.85,0.0,0.0,0.0,Feb-2018,194.79,Mar-2018,Feb-2018,0,,1,Individual,,,,0,66,20554.0,0,2.0,0,0.0,25.0,12651.0,40,0.0,1.0,2434,48.0,11600.0,2,1,5.0,1,2284.0,1423.0,78.1,0,0.0,138.0,164.0,22.0,22.0,1.0,22.0,,11.0,,0.0,4.0,7.0,4.0,12.0,4.0,7.0,21.0,7.0,9.0,0.0,0.0,0.0,0.0,95.2,50.0,1.0,0.0,42886.0,20554.0,6500.0,31286.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
